Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
234,,Algeria,1/25/20,0,0
235,,Algeria,1/26/20,0,0
236,,Algeria,1/27/20,0,0
237,,Algeria,1/28/20,0,0
238,,Algeria,1/29/20,0,0
239,,Algeria,1/30/20,0,0
240,,Algeria,1/31/20,0,0
241,,Algeria,2/1/20,0,0
242,,Algeria,2/2/20,0,0
243,,Algeria,2/3/20,0,0
244,,Algeria,2/4/20,0,0
245,,Algeria,2/5/20,0,0
246,,Algeria,2/6/20,0,0
247,,Algeria,2/7/20,0,0
248,,Algeria,2/8/20,0,0
249,,Algeria,2/9/20,0,0
250,,Algeria,2/10/20,0,0
251,,Algeria,2/11/20,0,0
252,,Algeria,2/12/20,0,0
253,,Algeria,2/13/20,0,0
254,,Algeria,2/14/20,0,0
255,,Algeria,2/15/20,0,0
256,,Algeria,2/16/20,0,0
257,,Algeria,2/17/20,0,0
258,,Algeria,2/18/20,0,0
259,,Algeria,2/19/20,0,0
260,,Algeria,2/20/20,0,0
261,,Algeria,2/21/20,0,0
262,,Algeria,2/22/20,0,0
263,,Algeria,2/23/20,0,0
264,,Algeria,2/24/20,0,0
265,,Algeria,2/25/20,1,0
266,,Algeria,2/26/20,1,0
267,,Algeria,2/27/20,1,0
268,,Algeria,2/28/20,1,0
269,,Algeria,2/29/20,1,0
270,,Algeria,3/1/20,1,0
271,,Algeria,3/2/20,3,0
272,,Algeria,3/3/20,5,0
273,,Algeria,3/4/20,12,0
274,,Algeria,3/5/20,12,0
275,,Algeria,3/6/20,17,0
276,,Algeria,3/7/20,17,0
277,,Algeria,3/8/20,19,0
278,,Algeria,3/9/20,20,0
279,,Algeria,3/10/20,20,0
280,,Algeria,3/11/20,20,0
281,,Algeria,3/12/20,24,1
282,,Algeria,3/13/20,26,2
283,,Algeria,3/14/20,37,3
284,,Algeria,3/15/20,48,4
285,,Algeria,3/16/20,54,4
286,,Algeria,3/17/20,60,4
287,,Algeria,3/18/20,74,7
288,,Algeria,3/19/20,87,9
289,,Algeria,3/20/20,90,11
290,,Algeria,3/21/20,139,15
291,,Algeria,3/22/20,201,17
292,,Algeria,3/23/20,230,17
293,,Algeria,3/24/20,264,19
294,,Algeria,3/25/20,302,21
295,,Algeria,3/26/20,367,25
296,,Algeria,3/27/20,409,26
297,,Algeria,3/28/20,454,29
298,,Algeria,3/29/20,511,31
299,,Algeria,3/30/20,584,35
300,,Algeria,3/31/20,716,44
301,,Algeria,4/1/20,847,58
302,,Algeria,4/2/20,986,86
303,,Algeria,4/3/20,1171,105
304,,Algeria,4/4/20,1251,130
305,,Algeria,4/5/20,1320,152
306,,Algeria,4/6/20,1423,173
307,,Algeria,4/7/20,1468,193
308,,Algeria,4/8/20,1572,205
309,,Algeria,4/9/20,1666,235
310,,Algeria,4/10/20,1761,256
311,,Algeria,4/11/20,1825,275
312,,Algeria,4/12/20,1914,293
313,,Algeria,4/13/20,1983,313
314,,Algeria,4/14/20,2070,326
315,,Algeria,4/15/20,2160,336
316,,Algeria,4/16/20,2268,348
317,,Algeria,4/17/20,2418,364
318,,Algeria,4/18/20,2534,367
319,,Algeria,4/19/20,2629,375
320,,Algeria,4/20/20,2718,384
321,,Algeria,4/21/20,2811,392
322,,Algeria,4/22/20,2910,402
323,,Algeria,4/23/20,3007,407
324,,Algeria,4/24/20,3127,415
325,,Algeria,4/25/20,3256,419
326,,Algeria,4/26/20,3382,425
327,,Algeria,4/27/20,3517,432
328,,Algeria,4/28/20,3649,437
329,,Algeria,4/29/20,3848,444
330,,Algeria,4/30/20,4006,450
331,,Algeria,5/1/20,4154,453
332,,Algeria,5/2/20,4295,459
333,,Algeria,5/3/20,4474,463
334,,Algeria,5/4/20,4648,465
335,,Algeria,5/5/20,4838,470
336,,Algeria,5/6/20,4997,476
337,,Algeria,5/7/20,5182,483
338,,Algeria,5/8/20,5369,488
339,,Algeria,5/9/20,5558,494
340,,Algeria,5/10/20,5723,502
341,,Algeria,5/11/20,5891,507
342,,Algeria,5/12/20,6067,515
343,,Algeria,5/13/20,6253,522
344,,Algeria,5/14/20,6442,529
345,,Algeria,5/15/20,6629,536
346,,Andorra,1/22/20,0,0
347,,Andorra,1/23/20,0,0
348,,Andorra,1/24/20,0,0
349,,Andorra,1/25/20,0,0
350,,Andorra,1/26/20,0,0
351,,Andorra,1/27/20,0,0
352,,Andorra,1/28/20,0,0
353,,Andorra,1/29/20,0,0
354,,Andorra,1/30/20,0,0
355,,Andorra,1/31/20,0,0
356,,Andorra,2/1/20,0,0
357,,Andorra,2/2/20,0,0
358,,Andorra,2/3/20,0,0
359,,Andorra,2/4/20,0,0
360,,Andorra,2/5/20,0,0
361,,Andorra,2/6/20,0,0
362,,Andorra,2/7/20,0,0
363,,Andorra,2/8/20,0,0
364,,Andorra,2/9/20,0,0
365,,Andorra,2/10/20,0,0
366,,Andorra,2/11/20,0,0
367,,Andorra,2/12/20,0,0
368,,Andorra,2/13/20,0,0
369,,Andorra,2/14/20,0,0
370,,Andorra,2/15/20,0,0
371,,Andorra,2/16/20,0,0
372,,Andorra,2/17/20,0,0
373,,Andorra,2/18/20,0,0
374,,Andorra,2/19/20,0,0
375,,Andorra,2/20/20,0,0
376,,Andorra,2/21/20,0,0
377,,Andorra,2/22/20,0,0
378,,Andorra,2/23/20,0,0
379,,Andorra,2/24/20,0,0
380,,Andorra,2/25/20,0,0
381,,Andorra,2/26/20,0,0
382,,Andorra,2/27/20,0,0
383,,Andorra,2/28/20,0,0
384,,Andorra,2/29/20,0,0
385,,Andorra,3/1/20,0,0
386,,Andorra,3/2/20,1,0
387,,Andorra,3/3/20,1,0
388,,Andorra,3/4/20,1,0
389,,Andorra,3/5/20,1,0
390,,Andorra,3/6/20,1,0
391,,Andorra,3/7/20,1,0
392,,Andorra,3/8/20,1,0
393,,Andorra,3/9/20,1,0
394,,Andorra,3/10/20,1,0
395,,Andorra,3/11/20,1,0
396,,Andorra,3/12/20,1,0
397,,Andorra,3/13/20,1,0
398,,Andorra,3/14/20,1,0
399,,Andorra,3/15/20,1,0
400,,Andorra,3/16/20,2,0
401,,Andorra,3/17/20,39,0
402,,Andorra,3/18/20,39,0
403,,Andorra,3/19/20,53,0
404,,Andorra,3/20/20,75,0
405,,Andorra,3/21/20,88,0
406,,Andorra,3/22/20,113,1
407,,Andorra,3/23/20,133,1
408,,Andorra,3/24/20,164,1
409,,Andorra,3/25/20,188,1
410,,Andorra,3/26/20,224,3
411,,Andorra,3/27/20,267,3
412,,Andorra,3/28/20,308,3
413,,Andorra,3/29/20,334,6
414,,Andorra,3/30/20,370,8
415,,Andorra,3/31/20,376,12
416,,Andorra,4/1/20,390,14
417,,Andorra,4/2/20,428,15
418,,Andorra,4/3/20,439,16
419,,Andorra,4/4/20,466,17
420,,Andorra,4/5/20,501,18
421,,Andorra,4/6/20,525,21
422,,Andorra,4/7/20,545,22
423,,Andorra,4/8/20,564,23
424,,Andorra,4/9/20,583,25
425,,Andorra,4/10/20,601,26
426,,Andorra,4/11/20,601,26
427,,Andorra,4/12/20,638,29
428,,Andorra,4/13/20,646,29
429,,Andorra,4/14/20,659,31
430,,Andorra,4/15/20,673,33
431,,Andorra,4/16/20,673,33
432,,Andorra,4/17/20,696,35
433,,Andorra,4/18/20,704,35
434,,Andorra,4/19/20,713,36
435,,Andorra,4/20/20,717,37
436,,Andorra,4/21/20,717,37
437,,Andorra,4/22/20,723,37
438,,Andorra,4/23/20,723,37
439,,Andorra,4/24/20,731,40
440,,Andorra,4/25/20,738,40
441,,Andorra,4/26/20,738,40
442,,Andorra,4/27/20,743,40
443,,Andorra,4/28/20,743,41
444,,Andorra,4/29/20,743,42
445,,Andorra,4/30/20,745,42
446,,Andorra,5/1/20,745,43
447,,Andorra,5/2/20,747,44
448,,Andorra,5/3/20,748,45
449,,Andorra,5/4/20,750,45
450,,Andorra,5/5/20,751,46
451,,Andorra,5/6/20,751,46
452,,Andorra,5/7/20,752,47
453,,Andorra,5/8/20,752,47
454,,Andorra,5/9/20,754,48
455,,Andorra,5/10/20,755,48
456,,Andorra,5/11/20,755,48
457,,Andorra,5/12/20,758,48
458,,Andorra,5/13/20,760,49
459,,Andorra,5/14/20,761,49
460,,Andorra,5/15/20,761,49
461,,Angola,1/22/20,0,0
462,,Angola,1/23/20,0,0
463,,Angola,1/24/20,0,0
464,,Angola,1/25/20,0,0
465,,Angola,1/26/20,0,0
466,,Angola,1/27/20,0,0
467,,Angola,1/28/20,0,0
468,,Angola,1/29/20,0,0
469,,Angola,1/30/20,0,0
470,,Angola,1/31/20,0,0
471,,Angola,2/1/20,0,0
472,,Angola,2/2/20,0,0
473,,Angola,2/3/20,0,0
474,,Angola,2/4/20,0,0
475,,Angola,2/5/20,0,0
476,,Angola,2/6/20,0,0
477,,Angola,2/7/20,0,0
478,,Angola,2/8/20,0,0
479,,Angola,2/9/20,0,0
480,,Angola,2/10/20,0,0
481,,Angola,2/11/20,0,0
482,,Angola,2/12/20,0,0
483,,Angola,2/13/20,0,0
484,,Angola,2/14/20,0,0
485,,Angola,2/15/20,0,0
486,,Angola,2/16/20,0,0
487,,Angola,2/17/20,0,0
488,,Angola,2/18/20,0,0
489,,Angola,2/19/20,0,0
490,,Angola,2/20/20,0,0
491,,Angola,2/21/20,0,0
492,,Angola,2/22/20,0,0
493,,Angola,2/23/20,0,0
494,,Angola,2/24/20,0,0
495,,Angola,2/25/20,0,0
496,,Angola,2/26/20,0,0
497,,Angola,2/27/20,0,0
498,,Angola,2/28/20,0,0
499,,Angola,2/29/20,0,0
500,,Angola,3/1/20,0,0
501,,Angola,3/2/20,0,0
502,,Angola,3/3/20,0,0
503,,Angola,3/4/20,0,0
504,,Angola,3/5/20,0,0
505,,Angola,3/6/20,0,0
506,,Angola,3/7/20,0,0
507,,Angola,3/8/20,0,0
508,,Angola,3/9/20,0,0
509,,Angola,3/10/20,0,0
510,,Angola,3/11/20,0,0
511,,Angola,3/12/20,0,0
512,,Angola,3/13/20,0,0
513,,Angola,3/14/20,0,0
514,,Angola,3/15/20,0,0
515,,Angola,3/16/20,0,0
516,,Angola,3/17/20,0,0
517,,Angola,3/18/20,0,0
518,,Angola,3/19/20,0,0
519,,Angola,3/20/20,1,0
520,,Angola,3/21/20,2,0
521,,Angola,3/22/20,2,0
522,,Angola,3/23/20,3,0
523,,Angola,3/24/20,3,0
524,,Angola,3/25/20,3,0
525,,Angola,3/26/20,4,0
526,,Angola,3/27/20,4,0
527,,Angola,3/28/20,5,0
528,,Angola,3/29/20,7,2
529,,Angola,3/30/20,7,2
530,,Angola,3/31/20,7,2
531,,Angola,4/1/20,8,2
532,,Angola,4/2/20,8,2
533,,Angola,4/3/20,8,2
534,,Angola,4/4/20,10,2
535,,Angola,4/5/20,14,2
536,,Angola,4/6/20,16,2
537,,Angola,4/7/20,17,2
538,,Angola,4/8/20,19,2
539,,Angola,4/9/20,19,2
540,,Angola,4/10/20,19,2
541,,Angola,4/11/20,19,2
542,,Angola,4/12/20,19,2
543,,Angola,4/13/20,19,2
544,,Angola,4/14/20,19,2
545,,Angola,4/15/20,19,2
546,,Angola,4/16/20,19,2
547,,Angola,4/17/20,19,2
548,,Angola,4/18/20,24,2
549,,Angola,4/19/20,24,2
550,,Angola,4/20/20,24,2
551,,Angola,4/21/20,24,2
552,,Angola,4/22/20,25,2
553,,Angola,4/23/20,25,2
554,,Angola,4/24/20,25,2
555,,Angola,4/25/20,25,2
556,,Angola,4/26/20,26,2
557,,Angola,4/27/20,27,2
558,,Angola,4/28/20,27,2
559,,Angola,4/29/20,27,2
560,,Angola,4/30/20,27,2
561,,Angola,5/1/20,30,2
562,,Angola,5/2/20,35,2
563,,Angola,5/3/20,35,2
564,,Angola,5/4/20,35,2
565,,Angola,5/5/20,36,2
566,,Angola,5/6/20,36,2
567,,Angola,5/7/20,36,2
568,,Angola,5/8/20,43,2
569,,Angola,5/9/20,43,2
570,,Angola,5/10/20,45,2
571,,Angola,5/11/20,45,2
572,,Angola,5/12/20,45,2
573,,Angola,5/13/20,45,2
574,,Angola,5/14/20,48,2
575,,Angola,5/15/20,48,2
576,,Antigua and Barbuda,1/22/20,0,0
577,,Antigua and Barbuda,1/23/20,0,0
578,,Antigua and Barbuda,1/24/20,0,0
579,,Antigua and Barbuda,1/25/20,0,0
580,,Antigua and Barbuda,1/26/20,0,0
581,,Antigua and Barbuda,1/27/20,0,0
582,,Antigua and Barbuda,1/28/20,0,0
583,,Antigua and Barbuda,1/29/20,0,0
584,,Antigua and Barbuda,1/30/20,0,0
585,,Antigua and Barbuda,1/31/20,0,0
586,,Antigua and Barbuda,2/1/20,0,0
587,,Antigua and Barbuda,2/2/20,0,0
588,,Antigua and Barbuda,2/3/20,0,0
589,,Antigua and Barbuda,2/4/20,0,0
590,,Antigua and Barbuda,2/5/20,0,0
591,,Antigua and Barbuda,2/6/20,0,0
592,,Antigua and Barbuda,2/7/20,0,0
593,,Antigua and Barbuda,2/8/20,0,0
594,,Antigua and Barbuda,2/9/20,0,0
595,,Antigua and Barbuda,2/10/20,0,0
596,,Antigua and Barbuda,2/11/20,0,0
597,,Antigua and Barbuda,2/12/20,0,0
598,,Antigua and Barbuda,2/13/20,0,0
599,,Antigua and Barbuda,2/14/20,0,0
600,,Antigua and Barbuda,2/15/20,0,0
601,,Antigua and Barbuda,2/16/20,0,0
602,,Antigua and Barbuda,2/17/20,0,0
603,,Antigua and Barbuda,2/18/20,0,0
604,,Antigua and Barbuda,2/19/20,0,0
605,,Antigua and Barbuda,2/20/20,0,0
606,,Antigua and Barbuda,2/21/20,0,0
607,,Antigua and Barbuda,2/22/20,0,0
608,,Antigua and Barbuda,2/23/20,0,0
609,,Antigua and Barbuda,2/24/20,0,0
610,,Antigua and Barbuda,2/25/20,0,0
611,,Antigua and Barbuda,2/26/20,0,0
612,,Antigua and Barbuda,2/27/20,0,0
613,,Antigua and Barbuda,2/28/20,0,0
614,,Antigua and Barbuda,2/29/20,0,0
615,,Antigua and Barbuda,3/1/20,0,0
616,,Antigua and Barbuda,3/2/20,0,0
617,,Antigua and Barbuda,3/3/20,0,0
618,,Antigua and Barbuda,3/4/20,0,0
619,,Antigua and Barbuda,3/5/20,0,0
620,,Antigua and Barbuda,3/6/20,0,0
621,,Antigua and Barbuda,3/7/20,0,0
622,,Antigua and Barbuda,3/8/20,0,0
623,,Antigua and Barbuda,3/9/20,0,0
624,,Antigua and Barbuda,3/10/20,0,0
625,,Antigua and Barbuda,3/11/20,0,0
626,,Antigua and Barbuda,3/12/20,0,0
627,,Antigua and Barbuda,3/13/20,1,0
628,,Antigua and Barbuda,3/14/20,1,0
629,,Antigua and Barbuda,3/15/20,1,0
630,,Antigua and Barbuda,3/16/20,1,0
631,,Antigua and Barbuda,3/17/20,1,0
632,,Antigua and Barbuda,3/18/20,1,0
633,,Antigua and Barbuda,3/19/20,1,0
634,,Antigua and Barbuda,3/20/20,1,0
635,,Antigua and Barbuda,3/21/20,1,0
636,,Antigua and Barbuda,3/22/20,1,0
637,,Antigua and Barbuda,3/23/20,3,0
638,,Antigua and Barbuda,3/24/20,3,0
639,,Antigua and Barbuda,3/25/20,3,0
640,,Antigua and Barbuda,3/26/20,7,0
641,,Antigua and Barbuda,3/27/20,7,0
642,,Antigua and Barbuda,3/28/20,7,0
643,,Antigua and Barbuda,3/29/20,7,0
644,,Antigua and Barbuda,3/30/20,7,0
645,,Antigua and Barbuda,3/31/20,7,0
646,,Antigua and Barbuda,4/1/20,7,0
647,,Antigua and Barbuda,4/2/20,9,0
648,,Antigua and Barbuda,4/3/20,15,0
649,,Antigua and Barbuda,4/4/20,15,0
650,,Antigua and Barbuda,4/5/20,15,0
651,,Antigua and Barbuda,4/6/20,15,0
652,,Antigua and Barbuda,4/7/20,19,1
653,,Antigua and Barbuda,4/8/20,19,2
654,,Antigua and Barbuda,4/9/20,19,2
655,,Antigua and Barbuda,4/10/20,19,2
656,,Antigua and Barbuda,4/11/20,21,2
657,,Antigua and Barbuda,4/12/20,21,2
658,,Antigua and Barbuda,4/13/20,23,2
659,,Antigua and Barbuda,4/14/20,23,2
660,,Antigua and Barbuda,4/15/20,23,2
661,,Antigua and Barbuda,4/16/20,23,3
662,,Antigua and Barbuda,4/17/20,23,3
663,,Antigua and Barbuda,4/18/20,23,3
664,,Antigua and Barbuda,4/19/20,23,3
665,,Antigua and Barbuda,4/20/20,23,3
666,,Antigua and Barbuda,4/21/20,23,3
667,,Antigua and Barbuda,4/22/20,24,3
668,,Antigua and Barbuda,4/23/20,24,3
669,,Antigua and Barbuda,4/24/20,24,3
670,,Antigua and Barbuda,4/25/20,24,3
671,,Antigua and Barbuda,4/26/20,24,3
672,,Antigua and Barbuda,4/27/20,24,3
673,,Antigua and Barbuda,4/28/20,24,3
674,,Antigua and Barbuda,4/29/20,24,3
675,,Antigua and Barbuda,4/30/20,24,3
676,,Antigua and Barbuda,5/1/20,25,3
677,,Antigua and Barbuda,5/2/20,25,3
678,,Antigua and Barbuda,5/3/20,25,3
679,,Antigua and Barbuda,5/4/20,25,3
680,,Antigua and Barbuda,5/5/20,25,3
681,,Antigua and Barbuda,5/6/20,25,3
682,,Antigua and Barbuda,5/7/20,25,3
683,,Antigua and Barbuda,5/8/20,25,3
684,,Antigua and Barbuda,5/9/20,25,3
685,,Antigua and Barbuda,5/10/20,25,3
686,,Antigua and Barbuda,5/11/20,25,3
687,,Antigua and Barbuda,5/12/20,25,3
688,,Antigua and Barbuda,5/13/20,25,3
689,,Antigua and Barbuda,5/14/20,25,3
690,,Antigua and Barbuda,5/15/20,25,3
691,,Argentina,1/22/20,0,0
692,,Argentina,1/23/20,0,0
693,,Argentina,1/24/20,0,0
694,,Argentina,1/25/20,0,0
695,,Argentina,1/26/20,0,0
696,,Argentina,1/27/20,0,0
697,,Argentina,1/28/20,0,0
698,,Argentina,1/29/20,0,0
699,,Argentina,1/30/20,0,0
700,,Argentina,1/31/20,0,0
701,,Argentina,2/1/20,0,0
702,,Argentina,2/2/20,0,0
703,,Argentina,2/3/20,0,0
704,,Argentina,2/4/20,0,0
705,,Argentina,2/5/20,0,0
706,,Argentina,2/6/20,0,0
707,,Argentina,2/7/20,0,0
708,,Argentina,2/8/20,0,0
709,,Argentina,2/9/20,0,0
710,,Argentina,2/10/20,0,0
711,,Argentina,2/11/20,0,0
712,,Argentina,2/12/20,0,0
713,,Argentina,2/13/20,0,0
714,,Argentina,2/14/20,0,0
715,,Argentina,2/15/20,0,0
716,,Argentina,2/16/20,0,0
717,,Argentina,2/17/20,0,0
718,,Argentina,2/18/20,0,0
719,,Argentina,2/19/20,0,0
720,,Argentina,2/20/20,0,0
721,,Argentina,2/21/20,0,0
722,,Argentina,2/22/20,0,0
723,,Argentina,2/23/20,0,0
724,,Argentina,2/24/20,0,0
725,,Argentina,2/25/20,0,0
726,,Argentina,2/26/20,0,0
727,,Argentina,2/27/20,0,0
728,,Argentina,2/28/20,0,0
729,,Argentina,2/29/20,0,0
730,,Argentina,3/1/20,0,0
731,,Argentina,3/2/20,0,0
732,,Argentina,3/3/20,1,0
